Yaw,Pitch,Raw,Timestamp
55.99,0.63,0.14,317.600999999966
55.96,0.49,0.24,317.701000000001
55.9,0.12,0.08,317.800999999978
55.75,0.47,0.33,317.901000000013
55.67,0.73,0.49,318.000999999989
55.59,0.1,0.24,318.100999999966
55.37,0.3,0.04,318.201000000001
55.06,0.44,0.3,318.300999999978
54.7,0.22,0.52,318.401000000013
54.26,0.18,0.51,318.500999999989
53.83,0.15,0.26,318.600999999966
53.26,0.33,0.07,318.701000000001
52.59,0.31,0.28,318.800999999978
51.9,0.19,0.25,318.901000000013
51.21,0.17,0.12,319.000999999989
50.46,0.09,0.12,319.100999999966
49.66,-0.09,0.1,319.201000000001
48.82,0.07,0.28,319.300999999978
48.01,0.19,0.17,319.401000000013
47.05,0.11,0.12,319.500999999989
46,0.19,0.24,319.600999999966
44.93,0.27,0.25,319.701000000001
43.78,0.47,0.17,319.800999999978
42.59,0.42,0.19,319.901000000013
41.31,0.36,0.3,320.000999999989
39.92,0.47,0.44,320.100999999966
38.53,0.51,0.4,320.201000000001
37.14,0.47,0.09,320.300999999978
35.69,0.39,0.05,320.401000000013
34.22,0.57,0.36,320.500999999989
32.65,0.41,0.37,320.600999999966
31.18,0.38,0.09,320.701000000001
29.6,0.49,0.06,320.800999999978
27.95,0.46,0.22,320.901000000013
26.28,0.55,0.38,321.000999999989
24.67,0.28,0.52,321.100999999966
23.1,0.23,0.33,321.201000000001
21.45,0.02,-0.02,321.300999999978
19.8,0.17,0.06,321.401000000013
18.15,0.31,0.12,321.500999999989
16.51,0.39,0.19,321.600999999966
14.9,0.44,0.47,321.701000000001
13.39,0.27,0.39,321.800999999978
11.84,0.55,0.17,321.901000000013
10.3,0.4,0.04,322.000999999989
8.85,0.26,-0.07,322.100999999966
7.31,0.35,0.06,322.201000000001
5.85,0.19,0.2,322.300999999978
4.46,0.26,0.28,322.401000000013
3.03,0.28,0.21,322.500999999989
1.56,0.23,0.02,322.600999999966
0.04,0.31,0.24,322.701000000001
358.56,0.24,0.55,322.800999999978
357.09,0.17,0.32,322.901000000013
355.51,-0.04,0.36,323.000999999989
354,0.06,0.4,323.100999999966
352.47,0.06,0.56,323.201000000001
350.95,0.06,0.39,323.300999999978
349.39,0.13,0.21,323.401000000013
347.86,0.24,0.17,323.500999999989
346.35,0.06,0.28,323.600999999966
344.94,0.16,0.51,323.701000000001
343.69,-0.09,0.35,323.800999999978
342.46,-0.32,0.24,323.901000000013
341.33,-0.51,0.34,324.000999999989
340.27,-0.61,-0.01,324.100999999966
339.24,-0.5,-0.04,324.201000000001
